exp_id,agent,space,start_pos,early_stop_enabled,sigma,episodes,max_steps,learning_rate,gamma,batch_size,rollout_size,gae_lambda,clip_epsilon,update_epochs,obs_mode,reward_fn,seed,stopped_early,best_eval_reward,early_stop_counter,eval_cumulative_reward,eval_total_steps,eval_total_agent_moves,eval_total_failed_moves,eval_total_targets_reached,eval_total_collision,eval_targets_remaining,replay_capacity,target_update_freq,epsilon,min_epsilon,epsilon_anneal_steps,reward_scale,final_epsilon,training_steps
0,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,0,True,3984.0,10,3980.0,12,12,0,1,1,0,,,,,,,,
1,ppo,restaurant_2_space,None,True,0.1,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,0,True,3982.0,10,3980.0,12,12,0,1,1,0,,,,,,,,
2,ppo,restaurant_2_space,None,True,0.3,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,0,True,3982.0,10,3982.0,10,10,0,1,1,0,,,,,,,,
3,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,xy,default,0,True,3984.0,10,3984.0,8,8,0,1,1,0,,,,,,,,
4,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,sensors,default,0,True,3991.0,10,3991.0,10,10,0,1,0,0,,,,,,,,
5,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,42,True,3978.0,10,3978.0,14,14,0,1,1,0,,,,,,,,
6,ppo,restaurant_2_space,None,True,0.1,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,42,True,3982.0,10,3981.0,11,11,0,1,1,0,,,,,,,,
7,ppo,restaurant_2_space,None,True,0.3,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,42,True,3982.0,10,3982.0,10,10,0,1,1,0,,,,,,,,
8,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,xy,default,42,False,3984.0,5,3973.0,10,10,0,1,2,0,,,,,,,,
9,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,sensors,default,42,True,3990.0,10,3976.0,16,16,0,1,1,0,,,,,,,,
10,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,123,True,3982.0,10,3982.0,10,10,0,1,1,0,,,,,,,,
11,ppo,restaurant_2_space,None,True,0.1,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,123,True,3984.0,10,3984.0,8,8,0,1,1,0,,,,,,,,
12,ppo,restaurant_2_space,None,True,0.3,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,both,default,123,True,3991.0,10,3991.0,10,10,0,1,0,0,,,,,,,,
13,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,xy,default,123,False,3984.0,0,-1607.0,500,500,0,0,123,1,,,,,,,,
14,ppo,restaurant_2_space,None,True,0.0,20000,500,0.0001,0.999,64,512.0,0.99,0.2,4.0,sensors,default,123,True,3982.0,10,3980.0,12,12,0,1,1,0,,,,,,,,
15,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,both,dqn,0,True,3990.0,10,3989.0,12,12,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.23660352000000007,194744.0
16,dqn,restaurant_2_space,None,True,0.1,3000,500,0.001,0.98,64,,,,,both,dqn,0,True,3992.0,10,3993.0,8,8,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,271362.0
17,dqn,restaurant_2_space,None,True,0.3,3000,500,0.001,0.98,64,,,,,both,dqn,0,False,3987.0,0,-509.0,500,500,0,0,1,1,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,1397441.0
18,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,xy,dqn,0,False,-inf,0,-4991.0,500,500,0,0,499,1,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,1486270.0
19,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,sensors,dqn,0,True,3993.0,10,3988.0,13,13,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.30351008,177676.0
20,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,both,dqn,42,True,3992.0,10,3990.0,11,11,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.37884072,158459.0
21,dqn,restaurant_2_space,None,True,0.1,3000,500,0.001,0.98,64,,,,,both,dqn,42,False,-inf,0,-4937.0,500,500,0,0,493,1,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,1336446.0
22,dqn,restaurant_2_space,None,True,0.3,3000,500,0.001,0.98,64,,,,,both,dqn,42,True,3991.0,10,3992.0,9,9,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.3156464,174580.0
23,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,xy,dqn,42,False,-inf,0,-4991.0,500,500,0,0,499,1,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,1484933.0
24,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,sensors,dqn,42,True,3992.0,10,3991.0,10,10,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.25245991999999995,190699.0
25,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,both,dqn,123,True,3993.0,10,3993.0,8,8,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.26793608,186751.0
26,dqn,restaurant_2_space,None,True,0.1,3000,500,0.001,0.98,64,,,,,both,dqn,123,True,3992.0,10,3991.0,10,10,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.38802919999999996,156115.0
27,dqn,restaurant_2_space,None,True,0.3,3000,500,0.001,0.98,64,,,,,both,dqn,123,False,-inf,0,-4946.0,500,500,0,0,494,1,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,1335725.0
28,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,xy,dqn,123,False,-inf,0,-4982.0,500,500,0,0,498,1,50000.0,500.0,1.0,0.02,250000.0,100.0,0.020000000000000018,1483864.0
29,dqn,restaurant_2_space,None,True,0.0,3000,500,0.001,0.98,64,,,,,sensors,dqn,123,True,3993.0,10,3991.0,10,10,0,1,0,0,50000.0,500.0,1.0,0.02,250000.0,100.0,0.40929128000000004,150691.0
